4.5,14.0,3.1,13.4,24.2,19.3,41.2,19.9,18.5,3.1,11.2,3.9,9.6,9.0,6.1,8.6
10.9,30.5,6.2,26.2,48.1,41.0,59.1,44.1,22.3,7.0,21.8,11.4,17.9,16.1,13.9,14.5
15.8,35.0,11.2,34.6,60.9,56.5,75.8,44.7,27.2,12.2,39.4,12.5,26.1,19.8,17.3,21.7
20.2,43.4,13.3,58.2,69.9,78.2,148.3,73.0,33.2,14.5,36.8,21.8,35.7,32.5,27.3,25.7
4.5,13.9,3.3,12.8,25.3,21.1,29.8,18.3,10.2,3.9,8.8,5.1,7.3,6.4,6.0,6.9
10.1,25.5,6.8,23.5,41.2,30.1,59.7,28.5,25.2,5.4,14.0,10.2,18.2,15.9,12.5,14.2
18.6,39.3,11.4,36.9,52.0,52.8,79.9,48.4,41.1,9.6,28.2,14.8,21.3,21.2,18.5,21.8
23.6,43.8,15.8,50.3,76.7,57.7,123.1,57.0,36.0,15.3,30.5,18.1,27.9,24.3,23.4,26.6
4.5,12.2,3.5,12.8,25.1,19.6,28.5,15.9,11.4,3.6,8.1,3.7,6.5,6.9,6.4,5.3
8.6,29.3,7.0,27.8,31.4,35.0,48.7,31.8,19.7,7.3,21.8,8.7,15.8,12.9,12.1,12.0
12.2,47.8,11.7,37.5,58.2,59.4,69.1,36.0,32.2,11.7,29.0,17.0,22.1,24.1,17.7,20.3
22.3,47.6,14.8,51.0,82.4,59.9,73.5,69.1,36.7,15.1,36.3,20.5,26.2,24.7,23.4,27.2
5.6,15.3,3.4,13.1,17.6,17.1,23.8,14.3,11.0,3.3,9.3,4.9,5.8,6.6,5.7,6.2
9.0,30.5,7.4,25.6,30.4,32.2,38.1,22.8,15.4,5.2,17.0,7.7,12.5,13.4,9.8,13.0
12.8,38.2,11.0,36.4,60.6,47.7,64.4,36.3,21.3,12.4,26.5,12.9,18.2,19.7,14.6,18.8
20.0,59.7,15.2,53.3,76.4,65.4,61.9,59.1,31.0,18.9,31.3,17.3,27.6,28.8,23.2,25.8
3.8,13.0,3.4,12.1,20.7,16.7,20.9,13.0,9.6,3.5,8.6,4.8,5.3,7.2,5.1,6.1
10.6,30.4,7.1,26.4,39.9,29.1,30.7,30.9,15.6,5.3,17.2,11.2,12.5,12.0,9.0,12.1
16.5,57.7,11.7,39.8,57.1,42.2,42.2,34.6,33.7,11.9,32.6,14.1,16.1,21.5,17.2,17.7
20.0,52.6,14.0,52.5,71.4,59.5,77.8,51.8,36.0,16.9,33.0,19.1,23.9,30.0,21.0,25.2
5.1,15.0,3.5,12.7,19.4,14.4,17.8,12.2,7.8,3.6,8.2,3.9,5.5,6.5,4.8,6.5
10.7,34.7,8.2,27.7,36.7,27.8,28.4,28.9,16.5,5.5,15.5,10.7,11.8,12.9,10.9,11.4
15.8,39.7,11.3,39.4,57.9,36.6,53.1,39.7,28.2,12.8,24.0,14.8,17.7,19.6,13.5,17.6
20.9,65.2,14.7,59.4,76.9,53.4,56.0,49.8,37.6,16.2,35.0,19.1,22.2,28.4,23.2,23.5
4.4,17.6,3.8,15.4,17.3,13.5,13.4,12.9,10.9,4.2,8.2,4.9,6.4,7.3,5.7,6.2
9.6,32.5,8.0,24.5,35.5,31.9,27.2,24.3,18.4,7.6,20.4,9.2,11.1,13.1,9.2,12.7
17.0,44.8,10.2,44.4,49.5,38.9,36.3,31.6,29.6,10.5,24.4,15.6,16.7,21.3,13.7,18.6
19.9,58.4,16.5,49.1,79.6,52.1,53.2,45.9,32.8,15.9,33.2,18.4,19.7,24.0,17.0,22.1